"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"スクルメタ","Matt Skrmetta","11776","スクルメタ","B","R","11/6/1972","1972"
"スケールズ","Bobby Scales","13063","スケールズ","B","R","10/4/1977","1977"
"スコット","Darryl Scott","10477","スコット","R","R","8/6/1968","1968"
"スコット","John Scott","207","スコット","R","R","1/24/1952","1952"
"スタニファー","Rob Stanifer","11656","スタニファー","R","R","3/10/1972","1972"
"スタルツ","Eric Stults","12915","スタルツ","L","L","12/9/1979","1979"
"スタルヒン","Viktor Starffin","222","スタルヒン","R","R","5/1/1916","1916"
"スタンカ","Joe Stanka","221","スタンカ","R","R","7/23/1931","1931"
"スタンドリッジ","Jason Standridge","12365","スタンドリッジ","R","R","11/9/1978","1978"
"スタントン","Leroy Stanton","13338","スタントン","R","R","4/10/1946","1946"
"スタンリッジ","Jason Standridge","12365","スタンリッジ","R","R","11/9/1978","1978"
"スタンレー橋本","Stanley Hashimoto","53","スタンレーはしもと","R","R","11/5/1932","1932"
"スチーブンス","Lee Stevens","10490","スチーブンス","L","L","7/10/1967","1967"
"スチブンス","Gene Stephens","13984","スチブンス","L","R","1/20/1933","1933"
"スチュアート"," Dick Stewart","13849","スチュアート","R","R","11/7/1932","1932"
"スチュワート","Josh Stewart","12011","スチュワート","L","L","12/5/1978","1978"
"ステアーズ","Matt Stairs","10491","ステアーズ","L","R","2/27/1969","1969"
"スティーブ","Steve Ontiveros","182","スティーブ","L","R","10/26/1951","1951"
"スティーブ","Steve McNulty","14186","スティーブ","R","R","3/11/1953","1953"
"ストーン","Dean Stone","14167","ストーン","L","L","9/1/1930","1930"
"ストローター","Steve Stroughter","9800","ストローター","L","R","3/15/1952","1952"
"スパイアー","Ryan Speier","13067","スパイアー","R","R","7/24/1979","1979"
"スパイク","Randy Ready","10492","スパイク","R","R","1/8/1960","1960"
"スパイクス","Charlie Spikes","9799","スパイクス","R","R","1/23/1951","1951"
"スピアマン","Alvin Spearman","14973","スピアマン","R","R","8/27/1926","1926"
"スピルボーグス","Ryan Spilborghs","15447","スピルボーグス","R","R","9/5/1979","1979"
"スペンサー","Daryl Spencer","220","スペンサー","R","R","7/13/1929","1929"
"スペンサー","Shane Spencer","11998","スペンサー","R","R","2/20/1972","1972"
"スミス","Mark Smith","11286","スミス","R","R","5/7/1970","1970"
"スミス","Reggie Smith","9798","スミス","B","R","4/2/1945","1945"
"スミス","Chris Smith","9797","スミス","B","R","7/18/1957","1957"
"スミス","Willie Smith","13815","スミス","L","L","2/11/1939","1939"
"ズレータ","Julio Zuleta","11788","ズレータ","R","R","3/28/1975","1975"
"スレッジ","Terrmel Sledge","12373","","L","L","3/18/1977","1977"
"セギノール","Fernando Seguignol","11648","セギノール","B","R","1/19/1975","1975"
"セゴビア","Alejandro Segovia","15957","","R","R","4/27/1990","1990"
"セサル","Dionys Cesar","12825","セサル","B","R","9/27/1976","1976"
"セドリック","Cedrick Bowers","11895","セドリック","R","L","2/10/1978","1978"
"セドン","Chris Seddon","15809","セドン","L","L","10/13/1983","1983"
"セペダ","Frederich Cepeda","15820","セペダ","B","R","4/8/1980","1980"
"セラテリ","Anthony Seratelli","15944","","B","R","2/27/1983","1983"
"セラフィニ","Dan Serafini","11875","セラフィニ","R","L","1/25/1974","1974"
"セルビー","Bill Selby","10505","セルビー","L","R","6/11/1970","1970"
"セルフ","John Self","13835","セルフ","R","R","9/9/1940","1940"
"ソーサ","Jorge Sosa","15428","ホルヘ・ソーサ","R","R","4/28/1977","1977"
"ソーレル","Billy Lee Sorrell","13813","ソーレル","L","R","10/14/1940","1940"
"ソコロビッチ","Miguel Socolovich","15444","ソコロビッチ","R","R","7/24/1986","1986"
"ソト","Enyelbert Soto","13046","ソト","L","L","8/20/1982","1982"
"ソニア","Shawn Sonnier","12138","ソニア","R","R","7/5/1976","1976"
"ソリアーノ","Alfonso Soriano","10510","ソリアーノ","R","R","1/7/1978","1978"
"ソリアーノ","Dioni Soriano","12812","ソリアーノ","L","L","12/30/1982","1982"
"ソレイタ","Tony Solaita","218","ソレイタ","L","L","1/15/1947","1947"
"ソロムコ","Mike Solomko","14072","ソロムコ","R","R","7/24/1936","1936"
"ダーウィン","Darwin Cubillan","11997","ダーウィン","R","R","11/15/1972","1972"
"ダース　ローマシュ匡","Darth Romash-Tasuku","12196","だーす　ろまーしゅ　たすく","R","R","12/15/1988","1988"
"ダービン","JD Durbin","12918","ダービン","R","R","2/24/1982","1982"
"ターマン","Jason Turman","11649","ターマン","R","R","11/10/1975","1975"
"ダイ","Daisaku Kojima","11276","ダイ","R","R","10/6/1975","1975"
"タイゲイニー","Ty Gainey","9925","タイゲイニー","L","R","12/25/1960","1960"
"タイロン","Jim Tyrone","13432","タイロン","R","R","1/29/1949","1949"
"タイロン・ウッズ","Tyrone Woods","11771","ウッズ","R","R","8/19/1969","1969"
"ダグラス","Sean Douglass","12123","ダグラス","R","R","4/28/1979","1979"
"ダックワース","Brandon Duckworth","15437","ダックワース","R","R","1/23/1976","1976"
"ダットサン","Gene Dotson","13047","ダットサン","R","R","11/1/1953","1953"
"タティス","Ramon Tatis","11428","タティス","L","L","1/5/1973","1973"
"タネル","Lee Tunnell","12651","タネル","R","R","10/30/1960","1960"
"タラスコ","Tony Tarasco","11402","タラスコ","L","R","12/9/1970","1970"
"ダルビッシュ 有","Yu Darvish","11960","だるびっしゅ ゆう","R","R","8/16/1986","1986"
"ダンカン","Mariano Duncan","11175","ダンカン","R","R","3/13/1963","1963"
"ダンカン","Taylor Duncan","13200","ダンカン","R","R","5/12/1953","1953"
"チアソン","Scott Chiasson","12342","チアソン","R","R","8/14/1977","1977"
"チェコ","Robinson Perez Checo","10575","チェコ","R","R","9/9/1971","1971"
"チェン","Chen Wei-yin","11868","チェン","L","L","7/21/1985","1985"
"チェンバレン","Wes Chamberlain","10580","チェンバレン","R","R","4/13/1966","1966"
"チャック","Chuck Essegian","14137","チャック","R","R","8/9/1931","1931"
"チャベス","Johermyn Chavez","15964","チャベス","R","R","1/26/1989","1989"
"チャンス","Bob Chance","13839","チャンス","L","R","9/10/1940","1940"
"チューク","Vinnie Chulk","12930","チューク","R","R","12/19/1978","1978"
"チルダース","Matt Childers","12793","チルダース","R","R","12/3/1978","1978"
"ツイドリー","Brad Tweedlie","11405","ツイドリー","R","R","12/9/1971","1971"
"ツギオ佐藤","Tsugio Sato","11285","ツギオ","R","R","10/25/1980","1980"
"デ ヘスス","Danilo De Jesus","15857","","R","R","11/2/1987","1987"
"デ　ラ　ロサ","Thomas De La Rosa","12490","","R","R","1/28/1977","1977"
"ディアー","Rob Deer","10597","ディアー","R","R","9/29/1960","1960"
"ディアス","Eddy Diaz","11289","ディアス","R","R","9/29/1971","1971"
"ディアス","Felix Diaz","12134","ディアス","R","R","7/27/1980","1980"
"ディアス","Rafael Diaz","11421","ディアス","R","R","12/12/1968","1968"
"ディアス","Victor Diaz","15429","ビクトル・ディアス","R","R","12/10/1981","1981"
"ディアズ","Mike Diaz","9886","ディアズ","R","R","4/15/1960","1960"
"デイエット","Brian Dayett","9880","デイエット","R","R","1/22/1957","1957"
"ディクソン","Brandon Dickson","15449","ディクソン","R","R","11/3/1984","1984"
"ディサ","Dick Desa","14095","ディサ","R","R","2/3/1941","1941"
"ディステファーノ","Benny Distafano","9792","ディステファーノ","L","L","1/23/1962","1962"
"デイビー","Tom Davey","11785","デイビー","R","R","9/11/1973","1973"
"デイモン","Damon Minor","11987","デイモン","L","L","1/5/1974","1974"
"ティモンズ","Ozzie Timmons","11433","ティモンズ","R","R","9/18/1970","1970"
"ティロット","Thad Tillotson","13913","ティロット","R","R","12/20/1940","1940"
"ディロン","Joe Dillon","12124","ディロン","R","R","8/2/1975","1975"
"ディンゴ","Dave Nilsson","11392","ディンゴ","L","R","12/14/1969","1969"
"テータム","Jim Tatum","10587","テータム","R","R","10/9/1967","1967"
"テータム","Jarvis Tatum","13912","テータム","R","R","10/11/1946","1946"
"デード","Paul Dade","13205","デード","R","R","12/7/1951","1951"
"デービス","Dick Davis","26","デービス","R","R","9/25/1953","1953"
"デービス","Alvin Davis","9883","デービス","L","R","9/9/1960","1960"
"デービス","Ron Davis","9747","デービス ","R","R","8/6/1955","1955"
"デービス","Willie Davis","13231","デービス","L","L","4/15/1940","1940"
"デービソン","Scott Davison","11194","ディビソン","R","R","10/16/1970","1970"
"テーラー","Bobby Taylor","13800","テーラー","L","R","3/20/1944","1944"
"デシンセイ","Doug DeCinces","9702","デシンセイ","R","R","8/29/1950","1950"
"テスタ","Nick Testa","14267","テスタ","R","R","6/29/1928","1928"
"デストラーデ","Orestes Destrade","10589","デストラーデ","B","R","5/8/1962","1962"
"デスパイネ","Alfredo Despaigne","15826","デスパイネ","R","R","6/17/1986","1986"
"デセンス","Elmer Dessens","11300","デセンス","R","R","1/13/1971","1971"
"デニー","Denny Tomori","10609","ともり　","R","R","9/21/1967","1967"
"デニス","Shane Dennis","10591","デニス","R","L","7/3/1971","1971"
"デニング","Mitch Dening","15962","デニング","L","R","8/17/1988","1988"
"デハート","Rick Dehart","11307","デハート","R","L","3/21/1968","1968"
"テハダ","Juan Tejada","14195","テハダ","L","L","3/8/1943","1943"
"デビット","David Pavlas","11065","デビット","R","R","8/12/1962","1962"
"デビッド","Scott Service","9882","デビッド","R","R","2/27/1967","1967"
"デビッド","David Hostetler","9790","デビッド","R","R","3/27/1956","1956"
"デューシー","Rob Ducey","10592","デューシー","L","R","5/24/1965","1965"
"デュプリー","Mike Dupree","13199","デュプリー","R","R","5/29/1953","1953"
"デュラン","Richard Duran","9452","デュラン","R","R","7/27/1957","1957"
"デラクルーズ","Fernando De La Cruz","11296","デラクルーズ","R","R","1/25/1971","1971"
"デラクルーズ","Hector DeLaCruz","9881","デラクルーズ","R","R","12/5/1965","1965"
"デラクルーズ","Francisco Delacruz","14755","デラクルーズ","R","R","7/9/1973","1973"
"デラクルス","Eulo de la Cruz","12831","デラクルス","R","R","3/12/1984","1984"
"テリー","Terry Whitfield","256","テリー","L","R","1/12/1953","1953"
"テリーリー","Terry Lee","13105","テリーリー","L","R","12/2/1955","1955"
"デルトロ","Miguel Del Toro","11447","デルトロ","R","R","6/22/1972","1972"
"テレーロ","Luis Terrero","15411","ルイス・テレーロ","R","R","5/18/1980","1980"
"デレオン","Juan DeLeon","13064","デレオン","R","R","6/24/1980","1980"
"デントナ","Jamie D'Antona","12782","デントナ","R","R","5/12/1982","1982"
"デントン","David Denton","13076","デントン","B","R","12/22/1955","1955"
"ドイル","Jeff Doyle","9500","ドイル","L","R","10/2/1956","1956"
"ドイル","Terry Doyle","15431","ドイル","R","R","11/2/1985","1985"
"トゥーシェン","Do-shen Li","12174","りー　びんえん","R","R","4/21/1988","1988"
"ドゥール","Jim Doole","15080","ドゥール","R","R","8/6/1925","1925"
"トゥサント","Andrew Toussaint","12813","トゥサント","R","R","10/24/1982","1982"
"トーベ","Kelvin Torve","11170","トーベ","R","R","1/10/1960","1960"
"トーマス","Brad Thomas","12003","トーマス","L","L","10/12/1977","1977"
"トーマス","Lee Thomas","13841","トーマス","L","R","2/5/1936","1936"
"トーマス","Justin Thomas","15559","トーマス","L","L","1/18/1984","1984"
"ドーマン","Scott Dohmann","12785","ドーマン","R","R","2/13/1978","1978"
"トーラン","Bobby Tolan","13237","トーラン","L","L","11/19/1945","1945"
"トーレス","Carlos Torres","13054","トーレス","R","R","10/22/1982","1982"
"ドスター","Dave Doster","11436","ドスター","R","R","10/8/1970","1970"
"ドッドソン","Pat Dodson","9746","ドッドソン","L","L","10/11/1959","1959"
"ドビー","Larry Doby","14273","ドビー","L","L","12/13/1924","1924"
"トマソン","Gary Thomasson","13048","トマソン","L","L","7/29/1951","1951"
"ドミンゴ","Domingo Guzman","11650","グスマン","R","R","4/5/1975","1975"
"トモキ","Tomoki Sato","11114","さとう　ともき","L","L","6/26/1979","1979"
"トラヴィス","Travis Mikihisa Samura","15375","トラヴィス","R","R","10/9/1993","1993"
"トラックスラー","Brian Traxler","10612","トラックスラー","L","L","9/26/1967","1967"
"ドリスキル","Travis Driskill","11180","ドリスキル","R","R","8/1/1971","1971"
"トレーシー","Andy Tracy","12013","トレーシー","L","R","12/11/1973","1973"
"トレーシー","Jim Tracy","9451","トレーシー","L","R","12/31/1955","1955"
"トレーシー","Chad Tracy","12936","トレーシー","L","R","5/22/1980","1980"
"トレーバー","Jim Traber","247","トレーバー","L","L","12/26/1961","1961"
"トレンティーノ","Jose Tolentino","11168","トレンティーノ","L","L","6/3/1961","1961"
"トンプソン","Jason Thompson","10614","トンプソン","L","L","6/13/1971","1971"
"トンプソン","Ryan Thompson","11152","トンプソン","R","R","11/4/1967","1967"
"ナーブソン","Chris Narveson","15724","ナーブソン","L","L","12/20/1981","1981"
"ナイト","Brandon Knight","11774","ナイト","L","R","10/1/1975","1975"
"ナイマン","Chris Nyman","9498","ナイマン","L","R","6/6/1955","1955"
"ナナリー","Jon Nunnally","11427","ナナリー","L","R","11/9/1971","1971"
"ナニータ","Ricardo Nanita","15871","","L","L","6/12/1981","1981"
"ニーマン","Bob Nieman","14540","ニーマン","R","R","1/26/1927","1927"
"ニール","Troy Neel","10648","ニール","L","R","9/14/1965","1965"
"ニエベス","Melvin Nieves","11301","ニエベス","B","R","12/28/1971","1971"
"ニコースキー","C.J. Nitkowski","12335","ニコースキー","L","L","3/9/1973","1973"
"ニコラス","Joe Vidal","13911","ニコラス","R","R","4/3/1940","1940"
"ニコルズ","Rod Nichols","10649","ニコルズ","R","R","12/29/1964","1964"
"ニック","Nick Stavinoha","15427","ニック・スタビノア","R","R","5/3/1982","1982"
"ニューク","Don Newcombe","14276","ニューク","L","R","6/14/1926","1926"
"ニューベリー","Jimmy Newberry","15176","ニューベリー","R","R","6/9/1925","1925"
"ニューマン","Alan Newman","11438","ニューマン","L","L","10/2/1969","1969"
"ネイラー","Drew Naylor","15970","ネイラー","R","R","5/31/1986","1986"
"ネトルス","Jim Nettles","13799","ネトルス","L","L","3/2/1947","1947"
"ネルソン","Bryant Nelson","11768","ネルソン","B","R","1/27/1974","1974"
"ネルソン","Maximo Nelson","12491","ネルソン","R","R","4/21/1982","1982"
"ノエル","Noel Urena","12948","","B","R","8/25/1989","1989"
"ノース","Herbert North","16088","ノース","R","R","01/12/1910","1910"
"ノット","Eric Knott","11430","ノット","L","L","9/23/1974","1974"
"パーカー","Wes Parker","191","パーカー","B","L","11/13/1939","1939"
"バークハート","Morgan Burkhart","11655","バークハート","B","L","1/29/1972","1972"
"バークベック","Mike Birkbeck","10684","バークベック","R","R","3/10/1961","1961"
"バーグマン","Sean Bergman","11457","バーグマン","R","R","4/11/1970","1970"
"パークル","Gregg Pirkel","10685","パークル","R","R","8/7/1970","1970"
"バークレオ","Tyler Van Burkleo","9859","バークレオ","L","L","10/7/1962","1962"
